DateTime,Location,ItemID,Transaction EmployeeID,Employee Name,Item,Price
2018-01-17 6:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-04-06 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-01-30 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-04-10 6:00:00,State Street,2,106,Sheera Grayskull,Fry,0.99
2018-03-28 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-04-20 6:00:00,Union Heights,1,110,Mrs. Fancy Pants,Burger,2.79
2018-03-28 6:00:00,State Street,1,106,Sheera Grayskull,Burger,2.79
2018-02-18 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-02-19 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-03-07 6:00:00,Union Heights,4,101,Lebron James,Shake,1.99
2018-03-28 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-03-09 6:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-03-03 6:00:00,State Street,2,106,Sheera Grayskull,Fry,0.99
2018-02-02 6:00:00,Union Heights,4,101,Lebron James,Shake,1.99
2018-01-09 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-04-18 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-02-23 6:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-01-22 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-02-02 6:00:00,Union Heights,1,101,Lebron James,Burger,2.79
2018-04-29 6:00:00,State Street,2,106,Sheera Grayskull,Fry,0.99
2018-04-22 6:00:00,Union Heights,4,110,Mrs. Fancy Pants,Shake,1.99
2018-02-12 6:00:00,State Street,1,107,Jeralyn Peterson,Burger,2.79
2018-01-24 6:00:00,State Street,4,106,Sheera Grayskull,Shake,1.99
2018-04-16 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-02-27 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-03-26 6:00:00,Union Heights,4,101,Lebron James,Shake,1.99
2018-01-17 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-04-13 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-01-01 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-02-10 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-02-06 6:00:00,State Street,4,106,Sheera Grayskull,Shake,1.99
2018-04-27 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-01-13 6:00:00,Union Heights,1,101,Lebron James,Burger,2.79
2018-04-29 6:00:00,Union Heights,1,110,Mrs. Fancy Pants,Burger,2.79
2018-02-14 6:00:00,Union Heights,4,101,Lebron James,Shake,1.99
2018-04-21 6:00:00,Union Heights,1,110,Mrs. Fancy Pants,Burger,2.79
2018-01-20 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-04-30 6:00:00,State Street,1,106,Sheera Grayskull,Burger,2.79
2018-03-23 6:00:00,Union Heights,1,101,Lebron James,Burger,2.79
2018-03-09 6:00:00,Union Heights,1,101,Lebron James,Burger,2.79
2018-02-26 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-04-29 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-04-01 6:00:00,State Street,2,106,Sheera Grayskull,Fry,0.99
2018-03-11 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-02-15 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-03-29 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-01-04 6:00:00,Union Heights,3,101,Lebron James,Drink,0.99
2018-01-16 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-03-16 6:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-04-01 6:00:00,State Street,4,106,Sheera Grayskull,Shake,1.99
2018-01-16 6:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-01-22 6:00:00,State Street,1,107,Jeralyn Peterson,Burger,2.79
2018-03-12 6:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-04-29 6:00:00,Union Heights,2,110,Mrs. Fancy Pants,Fry,0.99
2018-01-16 6:00:00,State Street,1,106,Sheera Grayskull,Burger,2.79
2018-01-09 6:00:00,State Street,4,106,Sheera Grayskull,Shake,1.99
2018-04-17 6:00:00,State Street,4,106,Sheera Grayskull,Shake,1.99
2018-02-21 6:00:00,State Street,1,106,Sheera Grayskull,Burger,2.79
2018-04-02 6:00:00,State Street,1,107,Jeralyn Peterson,Burger,2.79
2018-03-29 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-01-15 6:00:00,State Street,4,107,Jeralyn Peterson,Shake,1.99
2018-02-19 6:00:00,State Street,2,107,Jeralyn Peterson,Fry,0.99
2018-04-05 6:00:00,State Street,1,107,Jeralyn Peterson,Burger,2.79
2018-03-29 6:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-04-18 6:00:00,Union Heights,4,110,Mrs. Fancy Pants,Shake,1.99
2018-01-14 6:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-01-18 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-03-25 6:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-01-07 6:00:00,State Street,1,107,Jeralyn Peterson,Burger,2.79
